ChaosPerDay,TotalChaos,lag_1,lag_2,lag_3,rolling_min,rolling_mean,rolling_max,gen_rolling_min,gen_rolling_mean,gen_rolling_max,DailyReturn,DailyPercentReturn,Date,Confidence,DayOfLeague,WeekOfLeague,LeaguePeriod,Month,Value
0.38377190715188386,0.6712811324230652,0.5066355798377824,0.504621809551044,0.5008353018521093,0.511068593530561,0.5166333195063187,0.47645852542894307,0.5119379468108229,0.522973973619454,0.5388117990779268,0.468269105477003,0.14337890713081664,2022-11-03,0,76,11,2,11,152.54972
0.3760733411475908,0.6773994518692488,0.5103330676228853,0.5018043844766399,0.5016272813485584,0.511068593530561,0.5170748373956789,0.4775050564089105,0.5119379468108229,0.5184997027736192,0.5023445276988412,0.4618668029264336,0.1420728689198081,2022-11-04,0,77,11,2,11,152.84231
0.36857590009874147,0.6834367051465552,0.5113118852323557,0.5066355798377824,0.5018033474163885,0.511068593530561,0.5179803406061082,0.4775050564089105,0.5119379468108229,0.516466999322667,0.48522264562988815,0.45292593742796455,0.14026946775633345,2022-11-05,0,78,12,2,11,152.0
0.3612743966963003,0.6893950108330738,0.5084940587152738,0.5103330676228853,0.5094237999573668,0.5151152736878564,0.5187896766375674,0.4775050564089105,0.5119379468108229,0.5154319454045811,0.4775050564089105,0.4519584269055686,0.1400659198983721,2022-11-06,0,79,12,2,11,151.03488
0.3541637659870092,0.6952764327420279,0.5052653890708837,0.5113118852323557,0.504621809551044,0.5114249276233044,0.5177311961892982,0.4775050564089105,0.5119379468108229,0.514933727555558,0.4775050564089105,0.45212898795768075,0.14009086779615776,2022-11-07,0,80,12,2,11,150.09141
0.3472390644684878,0.7010829812349634,0.5021091463763041,0.5084940587152738,0.5018043844766399,0.5111708391198508,0.5157572617739374,0.4775050564089105,0.5119379468108229,0.5149406320568425,0.4775050564089105,0.4590499851812777,0.1415022062995368,2022-11-08,0,81,12,2,11,150.02645
0.340495468814437,0.7068166145211544,0.5018918320733163,0.5052653890708837,0.5066355798377824,0.5110673809776657,0.5135337448581401,0.47449229619927813,0.5119379468108229,0.5149406320568425,0.4775050564089105,0.45935337114510344,0.14156447246921228,2022-11-09,0,82,12,2,11,150.0
0.3339282743072371,0.7124792399400609,0.5018033474163885,0.5021091463763041,0.5103330676228853,0.5110673809776657,0.5125804592407189,0.47104027125178793,0.5119379468108229,0.5151446137352458,0.4775050564089105,0.4657178587741883,0.14287188113735733,2022-11-10,0,83,12,2,11,150.78142
0.32753289304155714,0.7180727152243628,0.504417475227976,0.5018918320733163,0.5113118852323557,0.5110673809776657,0.5128071909862729,0.4720769303102792,0.5128675823095948,0.5155659527686429,0.4775050564089105,0.4638418447631298,0.14248194691192226,2022-11-11,0,84,12,2,11,151.32471
0.3213048519512966,0.7235988497416607,0.5062349734987617,0.5018033474163885,0.5084940587152738,0.5110673809776657,0.5128263727907822,0.4720769303102792,0.5130742508755337,0.5156099536282469,0.4775050564089105,0.45003884695371643,0.1396681664606734,2022-11-12,0,85,13,2,11,150.11593
