Date,League,Get,Pay,Value,Confidence,StartDate,DayOfLeague,WeekOfLeague
2018-02-02,Abyss,Exalted Orb,Chaos Orb,78.64601,High,2017-12-09,56,8
2018-02-03,Abyss,Exalted Orb,Chaos Orb,79.01144,High,2017-12-09,57,9
2018-02-04,Abyss,Exalted Orb,Chaos Orb,79.27997,High,2017-12-09,58,9
2018-02-05,Abyss,Exalted Orb,Chaos Orb,80.45141,High,2017-12-09,59,9
2018-02-06,Abyss,Exalted Orb,Chaos Orb,81.86628,High,2017-12-09,60,9
2018-02-07,Abyss,Exalted Orb,Chaos Orb,84.66503,High,2017-12-09,61,9
2018-02-08,Abyss,Exalted Orb,Chaos Orb,85.41624,High,2017-12-09,62,9
2018-02-09,Abyss,Exalted Orb,Chaos Orb,89.16657,High,2017-12-09,63,9
2018-02-10,Abyss,Exalted Orb,Chaos Orb,91.12992,High,2017-12-09,64,10
2018-02-11,Abyss,Exalted Orb,Chaos Orb,91.83544,High,2017-12-09,65,10
2018-02-12,Abyss,Exalted Orb,Chaos Orb,92.02525,High,2017-12-09,66,10
2018-02-13,Abyss,Exalted Orb,Chaos Orb,92.28014,High,2017-12-09,67,10
2018-02-14,Abyss,Exalted Orb,Chaos Orb,91.17432,High,2017-12-09,68,10
2018-02-15,Abyss,Exalted Orb,Chaos Orb,91.55051,High,2017-12-09,69,10
2018-02-16,Abyss,Exalted Orb,Chaos Orb,91.0904,High,2017-12-09,70,10
2018-02-17,Abyss,Exalted Orb,Chaos Orb,90.93832,High,2017-12-09,71,11
2018-02-18,Abyss,Exalted Orb,Chaos Orb,90.98109,High,2017-12-09,72,11
2018-02-19,Abyss,Exalted Orb,Chaos Orb,90.96212,High,2017-12-09,73,11
2018-02-20,Abyss,Exalted Orb,Chaos Orb,90.39355,High,2017-12-09,74,11
2018-02-21,Abyss,Exalted Orb,Chaos Orb,91.67467,High,2017-12-09,75,11
2018-02-22,Abyss,Exalted Orb,Chaos Orb,92.86349,High,2017-12-09,76,11
2018-02-23,Abyss,Exalted Orb,Chaos Orb,94.33016,High,2017-12-09,77,11
2018-02-24,Abyss,Exalted Orb,Chaos Orb,94.93684,High,2017-12-09,78,12
2018-02-25,Abyss,Exalted Orb,Chaos Orb,95.83257,High,2017-12-09,79,12
2018-02-26,Abyss,Exalted Orb,Chaos Orb,98.78955,High,2017-12-09,80,12
2018-03-02,Bestiary,Exalted Orb,Chaos Orb,58.0,Low,2018-03-02,1,1
2018-03-03,Bestiary,Exalted Orb,Chaos Orb,26.156,High,2018-03-02,2,1
2018-03-04,Bestiary,Exalted Orb,Chaos Orb,40.16032,High,2018-03-02,3,1
2018-03-05,Bestiary,Exalted Orb,Chaos Orb,50.45981,High,2018-03-02,4,1
2018-03-06,Bestiary,Exalted Orb,Chaos Orb,49.05885,High,2018-03-02,5,1
2018-03-07,Bestiary,Exalted Orb,Chaos Orb,50.46742,High,2018-03-02,6,1
2018-03-08,Bestiary,Exalted Orb,Chaos Orb,55.7291,High,2018-03-02,7,1
2018-03-09,Bestiary,Exalted Orb,Chaos Orb,66.18633,High,2018-03-02,8,2
2018-03-10,Bestiary,Exalted Orb,Chaos Orb,70.15682,High,2018-03-02,9,2
2018-03-11,Bestiary,Exalted Orb,Chaos Orb,71.02177,High,2018-03-02,10,2
2018-03-12,Bestiary,Exalted Orb,Chaos Orb,75.04021,High,2018-03-02,11,2
2018-03-13,Bestiary,Exalted Orb,Chaos Orb,79.3179,High,2018-03-02,12,2
2018-03-14,Bestiary,Exalted Orb,Chaos Orb,80.65851,High,2018-03-02,13,2
2018-03-15,Bestiary,Exalted Orb,Chaos Orb,80.96557,High,2018-03-02,14,2
2018-03-16,Bestiary,Exalted Orb,Chaos Orb,79.44353,High,2018-03-02,15,3
2018-03-17,Bestiary,Exalted Orb,Chaos Orb,74.3598,High,2018-03-02,16,3
2018-03-18,Bestiary,Exalted Orb,Chaos Orb,73.12796,High,2018-03-02,17,3
2018-03-19,Bestiary,Exalted Orb,Chaos Orb,71.20945,High,2018-03-02,18,3
2018-03-20,Bestiary,Exalted Orb,Chaos Orb,72.01392,High,2018-03-02,19,3
2018-03-21,Bestiary,Exalted Orb,Chaos Orb,72.80732,High,2018-03-02,20,3
2018-03-22,Bestiary,Exalted Orb,Chaos Orb,72.77087,High,2018-03-02,21,3
2018-03-23,Bestiary,Exalted Orb,Chaos Orb,72.87644,High,2018-03-02,22,4
2018-03-24,Bestiary,Exalted Orb,Chaos Orb,72.1335,High,2018-03-02,23,4
2018-03-25,Bestiary,Exalted Orb,Chaos Orb,71.9317,High,2018-03-02,24,4
2018-03-26,Bestiary,Exalted Orb,Chaos Orb,72.86709,High,2018-03-02,25,4
2018-03-27,Bestiary,Exalted Orb,Chaos Orb,74.3337,High,2018-03-02,26,4
2018-03-28,Bestiary,Exalted Orb,Chaos Orb,77.09497,High,2018-03-02,27,4
2018-03-29,Bestiary,Exalted Orb,Chaos Orb,78.41942,High,2018-03-02,28,4
2018-03-30,Bestiary,Exalted Orb,Chaos Orb,81.05735,High,2018-03-02,29,5
2018-03-31,Bestiary,Exalted Orb,Chaos Orb,81.96441,High,2018-03-02,30,5
2018-04-01,Bestiary,Exalted Orb,Chaos Orb,83.17588,High,2018-03-02,31,5
2018-04-02,Bestiary,Exalted Orb,Chaos Orb,82.11285,High,2018-03-02,32,5
2018-04-03,Bestiary,Exalted Orb,Chaos Orb,83.68532,High,2018-03-02,33,5
2018-04-04,Bestiary,Exalted Orb,Chaos Orb,88.36653,High,2018-03-02,34,5
2018-04-05,Bestiary,Exalted Orb,Chaos Orb,92.4885,High,2018-03-02,35,5
2018-04-06,Bestiary,Exalted Orb,Chaos Orb,93.35595,High,2018-03-02,36,6
2018-04-07,Bestiary,Exalted Orb,Chaos Orb,94.03279,High,2018-03-02,37,6
2018-04-08,Bestiary,Exalted Orb,Chaos Orb,94.48748,High,2018-03-02,38,6
2018-04-09,Bestiary,Exalted Orb,Chaos Orb,96.17833,High,2018-03-02,39,6
2018-04-10,Bestiary,Exalted Orb,Chaos Orb,98.31959,High,2018-03-02,40,6
2018-04-11,Bestiary,Exalted Orb,Chaos Orb,102.79045,High,2018-03-02,41,6
2018-04-12,Bestiary,Exalted Orb,Chaos Orb,109.08775,High,2018-03-02,42,6
2018-04-13,Bestiary,Exalted Orb,Chaos Orb,105.57608,High,2018-03-02,43,7
2018-04-14,Bestiary,Exalted Orb,Chaos Orb,103.39639,High,2018-03-02,44,7
2018-04-15,Bestiary,Exalted Orb,Chaos Orb,104.95947,High,2018-03-02,45,7
2018-04-16,Bestiary,Exalted Orb,Chaos Orb,109.32601,High,2018-03-02,46,7
2018-04-17,Bestiary,Exalted Orb,Chaos Orb,112.41786,High,2018-03-02,47,7
2018-04-18,Bestiary,Exalted Orb,Chaos Orb,113.9941,High,2018-03-02,48,7
2018-04-19,Bestiary,Exalted Orb,Chaos Orb,114.43918,High,2018-03-02,49,7
2018-04-20,Bestiary,Exalted Orb,Chaos Orb,117.25137,High,2018-03-02,50,8
2018-04-21,Bestiary,Exalted Orb,Chaos Orb,119.68599,High,2018-03-02,51,8
2018-04-22,Bestiary,Exalted Orb,Chaos Orb,122.20752,High,2018-03-02,52,8
2018-04-23,Bestiary,Exalted Orb,Chaos Orb,123.93222,High,2018-03-02,53,8
2018-04-24,Bestiary,Exalted Orb,Chaos Orb,124.30413,High,2018-03-02,54,8
2018-04-25,Bestiary,Exalted Orb,Chaos Orb,126.58305,High,2018-03-02,55,8
2018-04-26,Bestiary,Exalted Orb,Chaos Orb,128.69158,High,2018-03-02,56,8
2018-04-27,Bestiary,Exalted Orb,Chaos Orb,131.37043,High,2018-03-02,57,9
2018-04-28,Bestiary,Exalted Orb,Chaos Orb,131.0,High,2018-03-02,58,9
2018-04-29,Bestiary,Exalted Orb,Chaos Orb,127.0,High,2018-03-02,59,9
2018-04-30,Bestiary,Exalted Orb,Chaos Orb,128.0,High,2018-03-02,60,9
2018-05-01,Bestiary,Exalted Orb,Chaos Orb,128.0,High,2018-03-02,61,9
2018-05-02,Bestiary,Exalted Orb,Chaos Orb,126.9975,High,2018-03-02,62,9
2018-05-03,Bestiary,Exalted Orb,Chaos Orb,127.0,High,2018-03-02,63,9
2018-05-04,Bestiary,Exalted Orb,Chaos Orb,127.0,High,2018-03-02,64,10
2018-05-05,Bestiary,Exalted Orb,Chaos Orb,127.09382,High,2018-03-02,65,10
2018-05-06,Bestiary,Exalted Orb,Chaos Orb,129.5,High,2018-03-02,66,10
2018-05-07,Bestiary,Exalted Orb,Chaos Orb,131.65254,High,2018-03-02,67,10
2018-05-08,Bestiary,Exalted Orb,Chaos Orb,140.0,High,2018-03-02,68,10
2018-05-09,Bestiary,Exalted Orb,Chaos Orb,140.0,High,2018-03-02,69,10
2018-05-10,Bestiary,Exalted Orb,Chaos Orb,141.0,High,2018-03-02,70,10
2018-05-11,Bestiary,Exalted Orb,Chaos Orb,145.0,High,2018-03-02,71,11
2018-05-12,Bestiary,Exalted Orb,Chaos Orb,144.38219,High,2018-03-02,72,11
2018-05-13,Bestiary,Exalted Orb,Chaos Orb,142.0,High,2018-03-02,73,11
2018-05-14,Bestiary,Exalted Orb,Chaos Orb,145.0,High,2018-03-02,74,11
2018-05-15,Bestiary,Exalted Orb,Chaos Orb,145.0,High,2018-03-02,75,11
2018-05-16,Bestiary,Exalted Orb,Chaos Orb,144.02173,High,2018-03-02,76,11
2018-05-17,Bestiary,Exalted Orb,Chaos Orb,145.0,High,2018-03-02,77,11
2018-05-18,Bestiary,Exalted Orb,Chaos Orb,143.04591,High,2018-03-02,78,12
2018-05-19,Bestiary,Exalted Orb,Chaos Orb,140.0,High,2018-03-02,79,12
2018-05-20,Bestiary,Exalted Orb,Chaos Orb,135.0,High,2018-03-02,80,12
2018-05-21,Bestiary,Exalted Orb,Chaos Orb,133.0,High,2018-03-02,81,12
2018-05-22,Bestiary,Exalted Orb,Chaos Orb,130.0,High,2018-03-02,82,12
2018-05-23,Bestiary,Exalted Orb,Chaos Orb,130.0,High,2018-03-02,83,12
2018-05-24,Bestiary,Exalted Orb,Chaos Orb,130.0,High,2018-03-02,84,12
2018-05-25,Bestiary,Exalted Orb,Chaos Orb,129.0301,High,2018-03-02,85,13
2018-05-26,Bestiary,Exalted Orb,Chaos Orb,130.0,High,2018-03-02,86,13
2018-05-27,Bestiary,Exalted Orb,Chaos Orb,130.0,High,2018-03-02,87,13
2018-05-28,Bestiary,Exalted Orb,Chaos Orb,128.0,High,2018-03-02,88,13
2016-09-08,Essence,Exalted Orb,Chaos Orb,64.00417,High,2016-09-08,1,1
2016-09-09,Essence,Exalted Orb,Chaos Orb,64.51451,High,2016-09-08,2,1
2016-09-10,Essence,Exalted Orb,Chaos Orb,65.0028,High,2016-09-08,3,1
2016-09-11,Essence,Exalted Orb,Chaos Orb,65.05764,High,2016-09-08,4,1
2016-09-12,Essence,Exalted Orb,Chaos Orb,65.98811,High,2016-09-08,5,1
2016-09-13,Essence,Exalted Orb,Chaos Orb,66.01724,High,2016-09-08,6,1
2016-09-14,Essence,Exalted Orb,Chaos Orb,69.08462,High,2016-09-08,7,1
2016-09-15,Essence,Exalted Orb,Chaos Orb,69.83986,High,2016-09-08,8,2
2016-09-16,Essence,Exalted Orb,Chaos Orb,68.44797,High,2016-09-08,9,2
2016-09-17,Essence,Exalted Orb,Chaos Orb,66.80162,High,2016-09-08,10,2
2016-09-18,Essence,Exalted Orb,Chaos Orb,66.0,High,2016-09-08,11,2
2016-09-19,Essence,Exalted Orb,Chaos Orb,65.99087,High,2016-09-08,12,2
2016-09-20,Essence,Exalted Orb,Chaos Orb,65.11401,High,2016-09-08,13,2
2016-09-21,Essence,Exalted Orb,Chaos Orb,64.70493,High,2016-09-08,14,2
2016-09-22,Essence,Exalted Orb,Chaos Orb,64.72966,High,2016-09-08,15,3
2016-09-23,Essence,Exalted Orb,Chaos Orb,64.94301,High,2016-09-08,16,3
2016-09-24,Essence,Exalted Orb,Chaos Orb,63.93462,High,2016-09-08,17,3
2016-09-25,Essence,Exalted Orb,Chaos Orb,63.99333,High,2016-09-08,18,3
2016-09-26,Essence,Exalted Orb,Chaos Orb,63.87528,High,2016-09-08,19,3
2016-09-27,Essence,Exalted Orb,Chaos Orb,63.1109,High,2016-09-08,20,3
2016-09-28,Essence,Exalted Orb,Chaos Orb,63.84893,High,2016-09-08,21,3
2016-09-29,Essence,Exalted Orb,Chaos Orb,63.98775,High,2016-09-08,22,4
2016-09-30,Essence,Exalted Orb,Chaos Orb,64.0,High,2016-09-08,23,4
2016-10-01,Essence,Exalted Orb,Chaos Orb,64.0,High,2016-09-08,24,4
2016-10-02,Essence,Exalted Orb,Chaos Orb,63.9993,High,2016-09-08,25,4
2016-10-03,Essence,Exalted Orb,Chaos Orb,63.97182,High,2016-09-08,26,4
2016-10-04,Essence,Exalted Orb,Chaos Orb,63.99311,High,2016-09-08,27,4
2016-10-05,Essence,Exalted Orb,Chaos Orb,64.0,High,2016-09-08,28,4
2016-10-06,Essence,Exalted Orb,Chaos Orb,64.57713,High,2016-09-08,29,5
2016-10-07,Essence,Exalted Orb,Chaos Orb,64.15459,High,2016-09-08,30,5
2016-10-08,Essence,Exalted Orb,Chaos Orb,64.83147,High,2016-09-08,31,5
2016-10-09,Essence,Exalted Orb,Chaos Orb,64.99873,High,2016-09-08,32,5
2016-10-10,Essence,Exalted Orb,Chaos Orb,65.0,High,2016-09-08,33,5
2016-10-11,Essence,Exalted Orb,Chaos Orb,65.0,High,2016-09-08,34,5
2016-10-12,Essence,Exalted Orb,Chaos Orb,65.63364,High,2016-09-08,35,5
2016-10-13,Essence,Exalted Orb,Chaos Orb,66.41441,High,2016-09-08,36,6
2016-10-14,Essence,Exalted Orb,Chaos Orb,67.0,High,2016-09-08,37,6
2016-10-15,Essence,Exalted Orb,Chaos Orb,66.99839,High,2016-09-08,38,6
2016-10-16,Essence,Exalted Orb,Chaos Orb,67.46224,High,2016-09-08,39,6
2016-10-17,Essence,Exalted Orb,Chaos Orb,68.70503,High,2016-09-08,40,6
2016-10-18,Essence,Exalted Orb,Chaos Orb,70.16339,High,2016-09-08,41,6
2016-10-19,Essence,Exalted Orb,Chaos Orb,71.0,High,2016-09-08,42,6
2016-10-20,Essence,Exalted Orb,Chaos Orb,71.0,High,2016-09-08,43,7
2016-10-21,Essence,Exalted Orb,Chaos Orb,71.07986,High,2016-09-08,44,7
2016-10-22,Essence,Exalted Orb,Chaos Orb,71.96094,High,2016-09-08,45,7
2016-10-23,Essence,Exalted Orb,Chaos Orb,71.4151,High,2016-09-08,46,7
2016-10-24,Essence,Exalted Orb,Chaos Orb,71.9951,High,2016-09-08,47,7
2016-10-25,Essence,Exalted Orb,Chaos Orb,72.0,High,2016-09-08,48,7
2016-10-26,Essence,Exalted Orb,Chaos Orb,72.0,High,2016-09-08,49,7
2016-10-27,Essence,Exalted Orb,Chaos Orb,72.0,High,2016-09-08,50,8
2016-10-28,Essence,Exalted Orb,Chaos Orb,72.09582,High,2016-09-08,51,8
2016-10-29,Essence,Exalted Orb,Chaos Orb,72.95771,High,2016-09-08,52,8
2016-10-30,Essence,Exalted Orb,Chaos Orb,72.62911,High,2016-09-08,53,8
2016-10-31,Essence,Exalted Orb,Chaos Orb,72.92817,High,2016-09-08,54,8
2016-11-01,Essence,Exalted Orb,Chaos Orb,73.40629,High,2016-09-08,55,8
2016-11-02,Essence,Exalted Orb,Chaos Orb,73.45406,High,2016-09-08,56,8
2016-11-03,Essence,Exalted Orb,Chaos Orb,73.79351,High,2016-09-08,57,9
2016-11-04,Essence,Exalted Orb,Chaos Orb,73.81897,High,2016-09-08,58,9
2016-11-05,Essence,Exalted Orb,Chaos Orb,73.52439,High,2016-09-08,59,9
2016-11-06,Essence,Exalted Orb,Chaos Orb,73.15532,High,2016-09-08,60,9
2016-11-07,Essence,Exalted Orb,Chaos Orb,72.9847,High,2016-09-08,61,9
2016-11-08,Essence,Exalted Orb,Chaos Orb,72.13142,High,2016-09-08,62,9
2016-11-09,Essence,Exalted Orb,Chaos Orb,71.99355,High,2016-09-08,63,9
2016-11-10,Essence,Exalted Orb,Chaos Orb,71.75778,High,2016-09-08,64,10
2016-11-11,Essence,Exalted Orb,Chaos Orb,70.52875,High,2016-09-08,65,10
2016-11-12,Essence,Exalted Orb,Chaos Orb,69.69598,High,2016-09-08,66,10
2016-11-13,Essence,Exalted Orb,Chaos Orb,68.5474,High,2016-09-08,67,10
2016-11-14,Essence,Exalted Orb,Chaos Orb,68.00455,High,2016-09-08,68,10
2016-11-15,Essence,Exalted Orb,Chaos Orb,68.73591,High,2016-09-08,69,10
2016-11-16,Essence,Exalted Orb,Chaos Orb,69.01935,High,2016-09-08,70,10
2016-11-17,Essence,Exalted Orb,Chaos Orb,68.93825,High,2016-09-08,71,11
2016-11-18,Essence,Exalted Orb,Chaos Orb,68.24958,High,2016-09-08,72,11
2016-11-19,Essence,Exalted Orb,Chaos Orb,67.10104,High,2016-09-08,73,11
2016-11-20,Essence,Exalted Orb,Chaos Orb,66.32874,High,2016-09-08,74,11
2016-11-21,Essence,Exalted Orb,Chaos Orb,65.29069,High,2016-09-08,75,11
2016-11-22,Essence,Exalted Orb,Chaos Orb,65.0,High,2016-09-08,76,11
2016-11-23,Essence,Exalted Orb,Chaos Orb,64.97231,High,2016-09-08,77,11
2016-11-24,Essence,Exalted Orb,Chaos Orb,63.85123,High,2016-09-08,78,12
2016-11-25,Essence,Exalted Orb,Chaos Orb,63.25719,High,2016-09-08,79,12
2016-11-26,Essence,Exalted Orb,Chaos Orb,64.0,High,2016-09-08,80,12
2016-11-27,Essence,Exalted Orb,Chaos Orb,64.94583,High,2016-09-08,81,12
2016-11-28,Essence,Exalted Orb,Chaos Orb,67.30846,High,2016-09-08,82,12
2017-08-05,Harbinger,Exalted Orb,Chaos Orb,29.69322,High,2017-08-05,1,1
2017-08-06,Harbinger,Exalted Orb,Chaos Orb,41.07667,High,2017-08-05,2,1
2017-08-07,Harbinger,Exalted Orb,Chaos Orb,48.5306,High,2017-08-05,3,1
2017-08-08,Harbinger,Exalted Orb,Chaos Orb,51.5515,High,2017-08-05,4,1
2017-08-09,Harbinger,Exalted Orb,Chaos Orb,49.6375,High,2017-08-05,5,1
2017-08-10,Harbinger,Exalted Orb,Chaos Orb,47.07745,High,2017-08-05,6,1
2017-08-11,Harbinger,Exalted Orb,Chaos Orb,44.96863,High,2017-08-05,7,1
2017-08-12,Harbinger,Exalted Orb,Chaos Orb,41.27733,High,2017-08-05,8,2
2017-08-13,Harbinger,Exalted Orb,Chaos Orb,39.48881,High,2017-08-05,9,2
2017-08-14,Harbinger,Exalted Orb,Chaos Orb,38.4734,High,2017-08-05,10,2
2017-08-15,Harbinger,Exalted Orb,Chaos Orb,38.81929,High,2017-08-05,11,2
2017-08-16,Harbinger,Exalted Orb,Chaos Orb,38.84739,High,2017-08-05,12,2
2017-08-17,Harbinger,Exalted Orb,Chaos Orb,40.0,High,2017-08-05,13,2
2017-08-18,Harbinger,Exalted Orb,Chaos Orb,40.5621,High,2017-08-05,14,2
2017-08-19,Harbinger,Exalted Orb,Chaos Orb,40.85814,High,2017-08-05,15,3
2017-08-20,Harbinger,Exalted Orb,Chaos Orb,40.30092,High,2017-08-05,16,3
2017-08-21,Harbinger,Exalted Orb,Chaos Orb,40.0,High,2017-08-05,17,3
2017-08-22,Harbinger,Exalted Orb,Chaos Orb,40.0,High,2017-08-05,18,3
2017-08-23,Harbinger,Exalted Orb,Chaos Orb,40.0,High,2017-08-05,19,3
2017-08-24,Harbinger,Exalted Orb,Chaos Orb,39.72693,High,2017-08-05,20,3
2017-08-25,Harbinger,Exalted Orb,Chaos Orb,38.99865,High,2017-08-05,21,3
2017-08-26,Harbinger,Exalted Orb,Chaos Orb,37.81173,High,2017-08-05,22,4
2017-08-27,Harbinger,Exalted Orb,Chaos Orb,36.58102,High,2017-08-05,23,4
2017-08-28,Harbinger,Exalted Orb,Chaos Orb,35.83753,High,2017-08-05,24,4
2017-08-29,Harbinger,Exalted Orb,Chaos Orb,34.70884,High,2017-08-05,25,4
2017-08-30,Harbinger,Exalted Orb,Chaos Orb,33.11007,High,2017-08-05,26,4
2017-08-31,Harbinger,Exalted Orb,Chaos Orb,31.79189,High,2017-08-05,27,4
2017-09-01,Harbinger,Exalted Orb,Chaos Orb,30.0067,High,2017-08-05,28,4
2017-09-02,Harbinger,Exalted Orb,Chaos Orb,28.07106,High,2017-08-05,29,5
2017-09-03,Harbinger,Exalted Orb,Chaos Orb,26.99815,High,2017-08-05,30,5
2017-09-04,Harbinger,Exalted Orb,Chaos Orb,27.0434,High,2017-08-05,31,5
2017-09-05,Harbinger,Exalted Orb,Chaos Orb,30.6721,High,2017-08-05,32,5
2017-09-06,Harbinger,Exalted Orb,Chaos Orb,35.82207,High,2017-08-05,33,5
2017-09-07,Harbinger,Exalted Orb,Chaos Orb,35.957,High,2017-08-05,34,5
2017-09-08,Harbinger,Exalted Orb,Chaos Orb,37.083,High,2017-08-05,35,5
2017-09-09,Harbinger,Exalted Orb,Chaos Orb,39.74765,High,2017-08-05,36,6
2017-09-10,Harbinger,Exalted Orb,Chaos Orb,48.867,High,2017-08-05,37,6
2017-09-11,Harbinger,Exalted Orb,Chaos Orb,60.6512,High,2017-08-05,38,6
2017-09-12,Harbinger,Exalted Orb,Chaos Orb,66.84213,High,2017-08-05,39,6
2017-09-13,Harbinger,Exalted Orb,Chaos Orb,67.2351,High,2017-08-05,40,6
2017-09-14,Harbinger,Exalted Orb,Chaos Orb,67.0,High,2017-08-05,41,6
2017-09-15,Harbinger,Exalted Orb,Chaos Orb,66.46987,High,2017-08-05,42,6
2017-09-16,Harbinger,Exalted Orb,Chaos Orb,66.0,High,2017-08-05,43,7
2017-09-17,Harbinger,Exalted Orb,Chaos Orb,66.0657,High,2017-08-05,44,7
2017-09-18,Harbinger,Exalted Orb,Chaos Orb,67.53544,High,2017-08-05,45,7
2017-09-19,Harbinger,Exalted Orb,Chaos Orb,70.7088,High,2017-08-05,46,7
2017-09-20,Harbinger,Exalted Orb,Chaos Orb,77.6882,High,2017-08-05,47,7
2017-09-21,Harbinger,Exalted Orb,Chaos Orb,81.43755,High,2017-08-05,48,7
2017-09-22,Harbinger,Exalted Orb,Chaos Orb,83.03894,High,2017-08-05,49,7
2017-09-23,Harbinger,Exalted Orb,Chaos Orb,84.34237,High,2017-08-05,50,8
2017-09-24,Harbinger,Exalted Orb,Chaos Orb,87.36683,High,2017-08-05,51,8
2017-09-25,Harbinger,Exalted Orb,Chaos Orb,87.00229,High,2017-08-05,52,8
2017-09-26,Harbinger,Exalted Orb,Chaos Orb,87.96913,High,2017-08-05,53,8
2017-09-27,Harbinger,Exalted Orb,Chaos Orb,87.96855,High,2017-08-05,54,8
2017-09-28,Harbinger,Exalted Orb,Chaos Orb,89.24398,High,2017-08-05,55,8
2017-09-29,Harbinger,Exalted Orb,Chaos Orb,90.346,High,2017-08-05,56,8
2017-09-30,Harbinger,Exalted Orb,Chaos Orb,93.43843,High,2017-08-05,57,9
2017-10-01,Harbinger,Exalted Orb,Chaos Orb,95.023,High,2017-08-05,58,9
2017-10-02,Harbinger,Exalted Orb,Chaos Orb,95.00193,High,2017-08-05,59,9
2017-10-03,Harbinger,Exalted Orb,Chaos Orb,96.0,High,2017-08-05,60,9
2017-10-04,Harbinger,Exalted Orb,Chaos Orb,95.60304,High,2017-08-05,61,9
2017-10-05,Harbinger,Exalted Orb,Chaos Orb,95.5948,High,2017-08-05,62,9
2017-10-06,Harbinger,Exalted Orb,Chaos Orb,94.97147,High,2017-08-05,63,9
2017-10-07,Harbinger,Exalted Orb,Chaos Orb,93.616,High,2017-08-05,64,10
2017-10-08,Harbinger,Exalted Orb,Chaos Orb,87.56029,High,2017-08-05,65,10
2017-10-09,Harbinger,Exalted Orb,Chaos Orb,82.3764,High,2017-08-05,66,10
2017-10-10,Harbinger,Exalted Orb,Chaos Orb,79.91359,High,2017-08-05,67,10
2017-10-11,Harbinger,Exalted Orb,Chaos Orb,81.3795,High,2017-08-05,68,10
2017-10-12,Harbinger,Exalted Orb,Chaos Orb,84.67706,High,2017-08-05,69,10
2017-10-13,Harbinger,Exalted Orb,Chaos Orb,84.33696,High,2017-08-05,70,10
2017-10-14,Harbinger,Exalted Orb,Chaos Orb,83.83442,High,2017-08-05,71,11
2017-10-15,Harbinger,Exalted Orb,Chaos Orb,82.83014,High,2017-08-05,72,11
2017-10-16,Harbinger,Exalted Orb,Chaos Orb,82.0218,High,2017-08-05,73,11
2017-10-17,Harbinger,Exalted Orb,Chaos Orb,81.04576,High,2017-08-05,74,11
2017-10-18,Harbinger,Exalted Orb,Chaos Orb,80.92059,High,2017-08-05,75,11
2017-10-19,Harbinger,Exalted Orb,Chaos Orb,81.0,High,2017-08-05,76,11
2017-10-20,Harbinger,Exalted Orb,Chaos Orb,80.78716,High,2017-08-05,77,11
2017-10-21,Harbinger,Exalted Orb,Chaos Orb,79.938,High,2017-08-05,78,12
2017-10-22,Harbinger,Exalted Orb,Chaos Orb,78.34485,High,2017-08-05,79,12
2017-10-23,Harbinger,Exalted Orb,Chaos Orb,76.74882,High,2017-08-05,80,12
2017-10-24,Harbinger,Exalted Orb,Chaos Orb,75.21276,High,2017-08-05,81,12
2017-10-25,Harbinger,Exalted Orb,Chaos Orb,74.99762,High,2017-08-05,82,12
2017-10-26,Harbinger,Exalted Orb,Chaos Orb,74.9994,High,2017-08-05,83,12
2017-10-27,Harbinger,Exalted Orb,Chaos Orb,75.80059,High,2017-08-05,84,12
2017-10-28,Harbinger,Exalted Orb,Chaos Orb,77.6741,High,2017-08-05,85,13
2017-10-29,Harbinger,Exalted Orb,Chaos Orb,77.5901,High,2017-08-05,86,13
2017-10-30,Harbinger,Exalted Orb,Chaos Orb,76.99119,High,2017-08-05,87,13
2017-10-31,Harbinger,Exalted Orb,Chaos Orb,76.57492,High,2017-08-05,88,13
2017-11-01,Harbinger,Exalted Orb,Chaos Orb,76.80833,High,2017-08-05,89,13
2017-11-02,Harbinger,Exalted Orb,Chaos Orb,76.05754,High,2017-08-05,90,13
2017-11-03,Harbinger,Exalted Orb,Chaos Orb,74.76275,High,2017-08-05,91,13
2017-11-04,Harbinger,Exalted Orb,Chaos Orb,74.01025,High,2017-08-05,92,14
2017-11-05,Harbinger,Exalted Orb,Chaos Orb,73.99078,High,2017-08-05,93,14
2017-11-06,Harbinger,Exalted Orb,Chaos Orb,73.71265,High,2017-08-05,94,14
2017-11-07,Harbinger,Exalted Orb,Chaos Orb,73.53691,High,2017-08-05,95,14
2017-11-08,Harbinger,Exalted Orb,Chaos Orb,73.25147,High,2017-08-05,96,14
2017-11-09,Harbinger,Exalted Orb,Chaos Orb,75.18344,High,2017-08-05,97,14
2017-11-10,Harbinger,Exalted Orb,Chaos Orb,77.87939,High,2017-08-05,98,14
2017-11-11,Harbinger,Exalted Orb,Chaos Orb,82.55501,High,2017-08-05,99,15
2017-11-12,Harbinger,Exalted Orb,Chaos Orb,83.65024,High,2017-08-05,100,15
2017-11-13,Harbinger,Exalted Orb,Chaos Orb,83.3449,High,2017-08-05,101,15
2017-11-14,Harbinger,Exalted Orb,Chaos Orb,84.52481,High,2017-08-05,102,15
2017-11-15,Harbinger,Exalted Orb,Chaos Orb,86.97966,High,2017-08-05,103,15
2017-11-16,Harbinger,Exalted Orb,Chaos Orb,89.20556,High,2017-08-05,104,15
2017-11-17,Harbinger,Exalted Orb,Chaos Orb,89.74535,High,2017-08-05,105,15
2017-11-18,Harbinger,Exalted Orb,Chaos Orb,88.51599,High,2017-08-05,106,16
2017-11-19,Harbinger,Exalted Orb,Chaos Orb,88.24168,High,2017-08-05,107,16
